url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_at_signs,num_slashes,num_equals,num_ampersands,num_percent,num_question,digit_ratio,letter_ratio,url_entropy,domain_entropy,num_subdomains,has_https,has_ip,has_port,has_at_sign,has_double_slash,domain_has_digit,too_many_subdomains,suspicious_tld,n_suspicious_keywords,has_suspicious_keyword,has_brand_in_domain,brand_impersonation,domain_age_days
28,13,2,0,3,0,0,0,3,0,0,0,0,0.5357,0.1786,3.744,2.5074,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
44,8,24,0,1,2,0,0,4,0,0,0,0,0.0909,0.7273,4.1873,2.75,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
34,14,7,0,4,0,0,0,3,0,0,0,0,0.4706,0.2647,4.0575,2.9852,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
37,8,17,0,1,0,0,0,4,0,0,0,0,0.0,0.8378,4.0335,2.75,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
32,15,5,0,3,0,0,0,3,0,0,0,0,0.5,0.25,3.7806,2.7899,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
27,11,4,0,1,0,0,0,3,0,0,0,0,0.0,0.8148,4.0603,3.0958,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
42,7,12,0,3,0,0,0,3,0,0,0,0,0.1667,0.6429,4.3797,2.5216,1,0,0,1,0,0,0,0,0,0,0,0,0,-1
36,14,10,0,1,0,0,0,3,0,0,0,0,0.0,0.8611,4.0169,3.3249,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
29,14,2,0,3,0,0,0,3,0,0,0,0,0.5517,0.1724,3.483,2.6456,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
27,15,5,0,3,0,0,0,3,0,0,0,0,0.5185,0.2222,3.6764,2.5493,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
41,5,16,0,4,0,0,0,4,0,0,0,0,0.0732,0.7073,4.3755,2.3219,2,0,0,0,0,0,0,0,0,0,0,0,0,-1
