feature,importance
digit_ratio,0.8030623744437807
has_https,0.08830011513732522
url_length,0.03551822553437115
num_dots,0.03483370568243912
domain_entropy,0.007075930466154498
num_subdomains,0.005315874497617606
url_entropy,0.005066226010774576
letter_ratio,0.005038325372057444
domain_length,0.0045096109879794715
num_slashes,0.004078721998693076
path_length,0.004005472857774586
suspicious_tld,0.000957967006302553
num_underscores,0.0006247227096287399
num_hyphens,0.0005758381709976366
has_double_slash,0.00032806978019296373
query_length,0.00027224542983455565
domain_has_digit,0.00022320671249483162
n_suspicious_keywords,9.495808594244811e-05
has_suspicious_keyword,5.170939980562173e-05
has_brand_in_domain,2.6299929292945465e-05
num_equals,2.4391206358802215e-05
num_question,1.2746655437796241e-05
too_many_subdomains,2.7576118505017193e-06
has_ip,4.831532908742106e-07
has_port,2.1158256799837987e-08
brand_impersonation,1.3455600123001846e-12
num_at_signs,0.0
num_percent,0.0
num_ampersands,0.0
has_at_sign,0.0
domain_age_days,0.0
